,goal,dimension,sum_diff,mean_diff,max_diff,min_diff
0,AO,future,0.0,0.0,0.0,0.0
1,AO,pressures,0.0,0.0,0.0,0.0
2,AO,resilience,0.0,0.0,0.0,0.0
3,AO,score,0.0,0.0,0.0,0.0
4,AO,status,0.0,0.0,0.0,0.0
5,AO,trend,0.0,0.0,0.0,0.0
6,BD,future,0.0,0.0,0.0,0.0
7,BD,score,0.0,0.0,0.0,0.0
8,BD,status,0.0,0.0,0.0,0.0
9,BD,trend,0.0,0.0,0.0,0.0
10,CP,future,0.0,0.0,0.0,0.0
11,CP,pressures,0.0,0.0,0.0,0.0
12,CP,resilience,0.0,0.0,0.0,0.0
13,CP,score,0.0,0.0,0.0,0.0
14,CP,status,0.0,0.0,0.0,0.0
15,CP,trend,0.0,0.0,0.0,0.0
16,CS,future,0.0,0.0,0.0,0.0
17,CS,pressures,0.0,0.0,0.0,0.0
18,CS,resilience,0.0,0.0,0.0,0.0
19,CS,score,0.0,0.0,0.0,0.0
20,CS,status,0.0,0.0,0.0,0.0
21,CS,trend,0.0,0.0,0.0,0.0
22,CW,future,0.0,0.0,0.0,0.0
23,CW,pressures,0.0,0.0,0.0,0.0
24,CW,resilience,0.0,0.0,0.0,0.0
25,CW,score,0.0,0.0,0.0,0.0
26,CW,status,0.0,0.0,0.0,0.0
27,CW,trend,0.0,0.0,0.0,0.0
28,ECO,future,0.0,0.0,0.0,0.0
29,ECO,pressures,0.0,0.0,0.0,0.0
30,ECO,resilience,0.0,0.0,0.0,0.0
31,ECO,score,0.0,0.0,0.0,0.0
32,ECO,status,0.0,0.0,0.0,0.0
33,ECO,trend,0.0,0.0,0.0,0.0
34,FIS,future,0.0,0.0,0.0,0.0
35,FIS,pressures,0.0,0.0,0.0,0.0
36,FIS,resilience,0.0,0.0,0.0,0.0
37,FIS,score,0.0,0.0,0.0,0.0
38,FIS,status,0.0,0.0,0.0,0.0
39,FIS,trend,0.0,0.0,0.0,0.0
40,FP,future,0.0,0.0,0.0,0.0
41,FP,score,0.0,0.0,0.0,0.0
42,FP,status,0.0,0.0,0.0,0.0
43,FP,trend,0.0,0.0,0.0,0.0
44,HAB,future,0.0,0.0,0.0,0.0
45,HAB,pressures,0.0,0.0,0.0,0.0
46,HAB,resilience,0.0,0.0,0.0,0.0
47,HAB,score,0.0,0.0,0.0,0.0
48,HAB,status,0.0,0.0,0.0,0.0
49,HAB,trend,0.0,0.0,0.0,0.0
50,ICO,future,0.0,0.0,0.0,0.0
51,ICO,pressures,0.0,0.0,0.0,0.0
52,ICO,resilience,0.0,0.0,0.0,0.0
53,ICO,score,0.0,0.0,0.0,0.0
54,ICO,status,0.0,0.0,0.0,0.0
55,ICO,trend,0.0,0.0,0.0,0.0
56,Index,future,0.0,0.0,0.0,0.0
57,Index,score,0.0,0.0,0.0,0.0
58,LE,future,0.0,0.0,0.0,0.0
59,LE,score,0.0,0.0,0.0,0.0
60,LE,status,0.0,0.0,0.0,0.0
61,LE,trend,0.0,0.0,0.0,0.0
62,LIV,future,0.0,0.0,0.0,0.0
63,LIV,pressures,0.0,0.0,0.0,0.0
64,LIV,resilience,0.0,0.0,0.0,0.0
65,LIV,score,0.0,0.0,0.0,0.0
66,LIV,status,0.0,0.0,0.0,0.0
67,LIV,trend,0.0,0.0,0.0,0.0
68,LSP,future,0.0,0.0,0.0,0.0
69,LSP,pressures,0.0,0.0,0.0,0.0
70,LSP,resilience,0.0,0.0,0.0,0.0
71,LSP,score,0.0,0.0,0.0,0.0
72,LSP,status,0.0,0.0,0.0,0.0
73,LSP,trend,0.0,0.0,0.0,0.0
74,MAR,future,0.0,0.0,0.0,0.0
75,MAR,pressures,0.0,0.0,0.0,0.0
76,MAR,resilience,0.0,0.0,0.0,0.0
77,MAR,score,0.0,0.0,0.0,0.0
78,MAR,status,0.0,0.0,0.0,0.0
79,MAR,trend,0.0,0.0,0.0,0.0
80,NP,future,0.0,0.0,0.0,0.0
81,NP,pressures,0.0,0.0,0.0,0.0
82,NP,resilience,0.0,0.0,0.0,0.0
83,NP,score,0.0,0.0,0.0,0.0
84,NP,status,0.0,0.0,0.0,0.0
85,NP,trend,0.0,0.0,0.0,0.0
86,SP,future,0.0,0.0,0.0,0.0
87,SP,score,0.0,0.0,0.0,0.0
88,SP,status,0.0,0.0,0.0,0.0
89,SP,trend,0.0,0.0,0.0,0.0
90,SPP,future,0.0,0.0,0.0,0.0
91,SPP,pressures,0.0,0.0,0.0,0.0
92,SPP,resilience,0.0,0.0,0.0,0.0
93,SPP,score,0.0,0.0,0.0,0.0
94,SPP,status,0.0,0.0,0.0,0.0
95,SPP,trend,0.0,0.0,0.0,0.0
96,TR,future,0.0,0.0,0.0,0.0
97,TR,pressures,0.0,0.0,0.0,0.0
98,TR,resilience,0.0,0.0,0.0,0.0
99,TR,score,0.0,0.0,0.0,0.0
100,TR,status,0.0,0.0,0.0,0.0
101,TR,trend,0.0,0.0,0.0,0.0
